Designator,Mid X,Mid Y,Rotation,Layer
C1,18.415,-29.718,270.0,bottom
C10,13.97,-20.828,270.0,bottom
C11,6.35,-20.828,270.0,bottom
C12,12.954,-58.42,270.0,bottom
C13,10.16,-64.77,180.0,bottom
C14,13.716,-2.54,0.0,bottom
C2,2.032,-29.718,90.0,bottom
C3,18.161,-71.374,270.0,bottom
C4,2.54,-73.533,90.0,bottom
C5,15.875,-71.628,0.0,bottom
C6,4.445,-71.628,0.0,bottom
C7,18.161,-73.533,90.0,bottom
C8,2.54,-70.993,270.0,bottom
C9,4.445,-50.673,180.0,bottom
D2,18.415,-24.638,270.0,bottom
D3,1.905,-24.638,90.0,bottom
J1,10.16,-32.258,180.0,bottom
J4,5.08,-72.533,90.0,top
J5,5.08,-91.583,90.0,top
J6,15.24,-72.533,90.0,top
J7,15.24,-91.583,90.0,top
J8,5.08,-53.483,90.0,top
J9,15.2,-53.483,90.0,top
LED1,5.08,-64.913,0.0,top
LED2,5.08,-83.963,0.0,top
LED3,15.24,-64.913,0.0,top
LED4,15.24,-83.963,0.0,top
P1,10.16,-4.318,0.0,top
P2,10.16,-24.638,180.0,top
Q1,10.16,-45.466,0.0,bottom
R1,15.875,-70.358,0.0,bottom
R10,5.08,-81.153,0.0,bottom
R11,15.875,-72.898,0.0,bottom
R12,4.445,-70.358,180.0,bottom
R13,18.161,-75.692,270.0,bottom
R14,1.27,-70.993,270.0,bottom
R15,18.161,-77.851,270.0,bottom
R16,1.27,-68.453,90.0,bottom
R17,11.684,-78.74,180.0,bottom
R18,12.065,-86.233,180.0,bottom
R19,15.24,-62.103,0.0,bottom
R2,4.445,-72.898,180.0,bottom
R20,15.24,-81.153,0.0,bottom
R21,1.905,-55.753,270.0,bottom
R22,8.89,-48.514,180.0,bottom
R23,17.526,-55.753,270.0,bottom
R24,11.43,-48.514,0.0,bottom
R25,15.24,-53.213,270.0,bottom
R26,4.572,-53.594,180.0,bottom
R27,15.24,-13.843,270.0,bottom
R28,13.208,-45.466,270.0,bottom
R29,7.112,-45.466,90.0,bottom
R3,18.161,-69.215,270.0,bottom
R4,1.27,-73.533,90.0,bottom
R5,18.161,-67.056,90.0,bottom
R6,1.27,-76.073,270.0,bottom
R7,1.27,-65.786,90.0,bottom
R8,8.255,-86.233,0.0,bottom
R9,5.08,-62.103,0.0,bottom
SW1,5.08,-39.878,0.0,top
SW2,15.24,-39.878,0.0,top
U1,10.16,-72.898,180.0,bottom
U2,10.16,-52.578,180.0,bottom
U3,10.16,-22.733,270.0,bottom
U4,9.906,-12.192,90.0,bottom
U5,10.16,-57.658,180.0,bottom
U6,10.16,-61.722,180.0,bottom
U7,10.16,-4.318,180.0,bottom
